FEATURE1,FEATURE2,FEATURE3,FEATURE4,FEATURE5,FEATURE6,FEATURE7,FEATURE8,FEATURE9,FEATURE10,FEATURE11,FEATURE12,FEATURE13,FEATURE14,FEATURE15,FEATURE16,FEATURE17,FEATURE18,FEATURE19,FEATURE20,FEATURE21,FEATURE22,FEATURE23,FEATURE24,FEATURE25,FEATURE26,FEATURE27,FEATURE28
1,53,22,0,0,0,1,0,0,1,0,12,113,0,0,0,0,0,0,0,0,50,700,1,0,0,1,0
1,53,22,0,0,0,0,0,0,2,0,17,217,0,0,0,0,1,0,0,0,40,600,1,0,0,0,1
2,26,22,0,0,0,0,0,0,1,0,13,124,0,0,0,0,0,1,0,1,50,700,1,0,1,1,0
1,48,28,0,0,0,0,0,0,2,0,15,176,0,0,0,0,0,1,0,1,90,1100,2,0,0,0,1
1,50,22,0,0,0,0,0,0,1,0,16,210,0,0,0,0,0,0,0,0,70,900,2,0,0,1,0
1,39,25,0,0,0,0,0,0,2,0,21,389,0,1,0,1,0,0,0,1,100,1600,1,0,0,0,1
1,35,24,0,0,0,0,0,0,1,0,16,208,0,0,0,0,0,0,0,0,70,900,2,0,0,1,0
2,49,23,0,1,0,0,2,1,2,0,14,152,0,0,0,0,0,0,0,0,40,600,2,0,1,0,1
1,45,23,0,0,0,0,0,0,1,0,19,275,1,0,1,0,1,0,0,0,40,600,1,1,0,1,0
1,42,24,0,0,0,0,0,0,2,0,18,261,0,0,0,0,0,0,0,0,70,900,2,0,0,0,1
1,49,27,0,0,0,0,0,0,1,0,18,249,0,0,0,0,0,0,0,0,80,1000,2,0,0,1,0
2,61,23,0,0,0,1,0,0,2,0,17,233,1,0,1,0,1,0,0,0,40,600,2,1,1,0,1
2,53,26,0,0,0,1,1,1,1,0,21,392,0,0,0,0,0,0,0,1,60,800,1,0,1,1,0
1,42,22,0,0,0,0,0,0,2,0,12,118,0,0,0,0,1,0,0,0,50,700,2,0,0,0,1
1,36,27,0,0,0,1,0,0,1,0,20,350,0,0,0,0,0,0,0,0,60,800,1,0,0,1,0
2,59,24,0,0,0,0,0,0,2,0,16,206,0,0,0,0,0,0,0,1,100,1600,1,0,1,0,1
1,55,28,0,0,0,1,3,1,1,0,16,196,0,1,0,1,0,0,0,1,90,1100,1,0,0,1,0
2,51,23,0,0,0,0,0,0,2,0,15,167,1,0,1,0,0,0,0,0,60,800,2,1,1,0,1
1,32,24,0,0,0,1,0,0,1,0,18,255,0,0,0,0,0,0,0,0,60,800,1,0,0,1,0
2,45,22,0,0,0,1,2,1,2,0,19,275,0,0,0,0,0,0,0,0,80,1000,2,0,1,0,1
1,65,28,0,0,0,1,0,0,1,0,20,345,0,0,0,0,0,0,0,0,70,900,2,0,0,1,0
1,64,24,0,0,1,1,0,0,2,0,21,376,1,0,1,0,1,0,0,0,80,1000,1,1,0,0,1
1,29,27,0,0,0,0,0,0,1,0,14,152,0,0,0,0,0,1,0,1,120,1000,2,0,0,1,0
1,58,26,0,0,0,0,0,0,2,0,15,182,1,0,1,0,0,1,0,1,140,1600,2,1,0,0,1
2,48,21,1,0,0,0,0,0,1,0,21,379,0,0,0,0,0,0,0,0,90,1100,1,0,1,1,0
1,56,24,0,0,0,0,0,0,2,0,21,367,0,0,0,0,1,0,0,0,80,1000,2,0,0,0,1
2,41,22,0,0,0,1,2,1,1,0,14,148,0,0,0,0,0,0,0,0,80,1000,2,0,1,1,0
1,54,22,0,0,0,0,0,0,3,1,14,147,1,0,1,0,1,0,1,0,40,600,2,1,0,1,1
2,51,27,0,0,0,1,2,1,1,0,12,103,0,0,0,0,0,0,0,0,70,900,1,0,1,1,0
1,49,21,0,0,0,0,1,1,2,0,16,203,0,0,1,0,0,0,0,0,80,1000,2,1,0,0,1
1,47,25,0,0,0,0,0,0,1,0,21,374,1,0,1,0,0,0,0,0,70,900,1,0,0,1,0
1,42,21,0,0,0,1,0,0,2,0,13,129,0,0,0,0,1,0,0,1,80,1000,1,0,0,0,1
1,51,24,0,0,0,0,0,0,1,0,21,366,0,1,0,1,0,0,0,0,90,1100,1,0,0,1,0
2,48,27,0,0,0,1,0,0,3,1,14,147,0,1,0,1,0,0,1,0,90,1100,2,0,1,1,1
1,41,23,0,0,0,0,0,0,1,0,16,211,0,0,0,0,0,0,0,0,80,1000,2,0,0,1,0
1,57,25,1,0,0,1,0,0,3,1,18,264,0,0,0,0,1,0,1,0,80,1000,1,0,0,1,1
1,39,27,0,0,0,1,0,0,1,0,13,123,0,0,0,0,0,0,0,0,100,1300,1,0,0,1,0
1,45,22,0,0,0,0,0,0,2,0,14,157,1,0,1,0,1,0,0,0,100,1000,2,1,0,0,1
